Post_ID,Size,Depth,Max_Breadth,Mean_Breadth,Unique_Users,Duration_Minutes,Mean_Interval
1qtj6hq,35,5,17,5.833333333333333,28,27841.95,795.4842857142858
1qtro6b,12,1,11,6.0,11,1622.2,135.18333333333334
1qu2c6d,35,4,15,7.0,19,4232.383333333333,120.92523809523809
1qvso9v,79,6,44,11.285714285714286,61,78036.43333333333,987.8029535864979
1qw5gku,47,4,30,9.4,43,5479.85,116.59255319148937
1qwvxme,20,4,11,4.0,18,4699.2,234.95999999999998
1qxjons,62,6,24,8.857142857142858,39,34329.666666666664,553.7043010752687
1qywhks,25,3,16,6.25,23,3788.1,151.524
1r0cvj9,47,5,20,7.833333333333333,36,7581.166666666667,161.30141843971631
1r01k6o,41,4,28,8.2,36,4982.633333333333,121.52764227642277
1r0cwsk,88,6,46,12.571428571428571,71,2875.7,32.67840909090909
1r0y6fj,72,7,32,9.0,42,4820.466666666666,66.95092592592592
1r11jbb,44,4,24,8.8,38,44330.46666666667,1007.510606060606
1r1jyt9,65,4,32,13.0,54,2336.8333333333335,35.95128205128206
1r1wn23,56,4,34,11.2,48,8111.583333333333,144.84970238095238
1r225e4,35,5,17,5.833333333333333,25,40269.916666666664,1150.5690476190475
1r25lk7,26,3,18,6.5,23,3385.5,130.21153846153845
1r2d9e1,72,12,15,5.538461538461538,42,44265.9,614.8041666666667
1r349i3,87,6,34,12.428571428571429,56,4561.2,52.42758620689655
1r3l5v7,28,4,13,5.6,25,81355.86666666667,2905.5666666666666
1r3zpb3,168,5,112,28.0,130,43290.933333333334,257.684126984127
1r6e1ik,79,6,29,11.285714285714286,50,25037.85,316.93481012658225
1r6jtg2,165,6,73,23.571428571428573,130,21731.516666666666,131.7061616161616
1r7bn6o,102,4,71,20.4,88,5863.983333333334,57.49003267973856
1r83co4,39,5,21,6.5,30,2049.0666666666666,52.54017094017094
1r84iqe,131,8,71,14.555555555555555,94,32684.766666666666,249.50203562340965
1r8gi0d,107,7,65,13.375,93,4489.85,41.96121495327103
1r8z5wi,45,5,14,7.5,30,33637.8,747.5066666666668
1r9v6nb,42,5,17,7.0,29,1863.15,44.36071428571429
1raue6g,27,5,13,4.5,25,1936.8666666666666,71.7358024691358
1rb0egu,43,5,17,7.166666666666667,33,2791.1,64.9093023255814
1rbs859,71,4,43,14.2,63,1891.15,26.635915492957746
1rbvfsa,165,8,53,18.333333333333332,108,43305.13333333333,262.45535353535354
1rcm0g5,196,6,164,28.0,177,1912.8333333333333,9.759353741496598
1rcqe00,62,3,50,15.5,57,3822.3,61.650000000000006
